Expense_Type,1-Nov-10,1-Dec-10,1-Jan-11,1-Feb-11,1-Mar-11,1-Apr-11,1-May-11,1-Jun-11,1-Jul-11,1-Aug-11,1-Sep-11,1-Oct-11,1-Nov-11,1-Dec-11,1-Jan-12,1-Feb-12,1-Mar-12,1-Apr-12,1-May-12,1-Jun-12,1-Jul-12,1-Aug-12,1-Sep-12,1-Oct-12,1-Nov-12,1-Dec-12,1-Jan-13,1-Feb-13,1-Mar-13,1-Apr-13,1-May-13,1-Jun-13,13-Jul-13,13-Aug-13,13-Sep-13,1-Oct-13,1-Nov-13,13-Dec-13,14-Jan-14,14-Feb-14,14-Mar-14,14-Apr-14,14-May-14,14-Jun-14,14-Jul-14,14-Aug-14,14-Sep-14,14-Oct-14,14-Nov-14,14-Dec-14,15-Jan-15,15-Feb-15,15-Mar-15,15-Apr-15,15-May-15,1-Jun-15,1-Jul-15,1-Aug-15,1-Sep-15,1-Oct-15,1-Nov-15,1-Dec-15,1-Jan-16,1-Feb-16,1-Mar-16,1-Apr-16,1-May-16,1-Jun-16,1-Jul-16,1-Aug-16,1-Sep-16,1-Oct-16
Security Guards,"11,000","11,000","11,000","11,000","8,500","11,000","11,000","11,000","11,700","11,500","11,700","11,700","11,700","11,700","11,700","11,700","11,700","12,700","12,700","12,700","12,700","12,300","12,700","12,700","13,700","12,700","12,700","12,700","13,000","13,800","13,800","13,800","13,800","13,800","13,800","13,800","16,200","13,800","13,800","13,800","14,300","14,300","22,150","15,000","15,000","1,500","15,000","16,200","15,130","15,100","15,200","15,200","15,200","15,200","15,200","16,200","16,200","16,200","16,200","16,200","16,200","16,200","16,000","16,200","16,200","16,200","18,200","18,200","18,200","18,200","18,200",
House Keeping Labour,"7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,500","7,500","7,500","8,000","8,300","8,500","8,500","8,500","8,750","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","8,266","9,000","9,000","9,000","9,000","10,000","9,000","10,500","9,300","9,000","9,150","9,000","10,000","10,000","12,096","9,840","9,333","9,921","11,115","10,564","11,694","7,930","9,678","10,731","10,300","10,825","10,822","10,930","10,818",
Common Electricity - BESCOM,"14,360","7,950","8,400","10,750","8,260","6,655","5,670","5,900","5,500","5,500","5,300","6,400","6,700","7,600","7,500","6,065","6,300","8,153","7,610","7,028","5,646","5,575","5,540","6,392","5,766","5,328","5,458","6,387","5,405","6,157","5,763","5,054","7,007","4,411","5,160","7,577","5,636","5,748","7,715","5,628","5,174","2,894","7,255","6,501","5,154","6,981","9,718",,"19,779","7,080","7,817","6,273","5,558","7,055","7,114","7,897","12,031","12,836","5,603","1,016","7,544","7,174",,"15,327","7,694","8,197",,"15,829","7,682","8,456",,
Water Tankers ,"1,080","4,320","5,400","9,720","17,600","12,600","13,140","14,200","12,960","13,845","14,040","14,040","14,820","16,380","21,535","26,205","37,620","35,095","27,400","36,010","39,000","42,200","35,500","34,250","35,300","31,200","36,180","31,850","38,980","37,500","40,250","39,000","42,000","37,500","35,750","34,500","34,750","34,500","35,000","32,750","33,500","36,450","35,750","31,500","23,500","18,250","19,750","21,100","22,950","23,490","27,270","27,540","29,160","25,920","31,590","32,670","39,960","39,760","32,560","36,120","37,060","33,780","35,460","37,660","45,990","38,740","44,000","43,620","40,960","35,540","34,460",
Gardening,600,200,850,"1,250","1,650","1,200","1,200","1,200","2,980","5,110","6,293","6,050","3,140","2,500","2,500","3,900","2,500","2,500","2,500","2,500","2,500","2,700","2,800","2,750","3,050","2,750","2,750","2,750","2,750","2,750","2,750","2,750","3,580","2,750","2,300","3,100","1,300","3,000","3,000","2,860","1,900","1,080",690,"1,000",750,,"1,500","2,700","3,620","1,200","1,000","1,000","1,200","1,000","6,180","1,000","1,000","4,845","2,120","1,500","15,350",,700,,"1,200","1,270",,,,"4,670","4,000",500
Waste Disposal,750,750,750,750,800,800,800,800,800,800,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,100","1,000","1,000","1,000","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,200","1,200","1,100","1,300","1,200","1,200","1,200","1,300","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","2,000","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800",
Deisel for Generator,,,"1,000",,"1,350","1,850","3,395","3,870","3,460","1,200","4,800","3,600","3,600","3,600","2,400","2,400","3,600","2,400","3,622","2,400","3,600","2,400","2,400","3,600","3,700","4,028","3,947","1,375","4,125","2,750","2,790","5,860","4,400","3,030","4,650","4,585","6,000","6,000","6,164","3,150","4,780","4,760","5,080","5,280","5,380","5,500","3,800","3,700","6,670","3,170","1,650","1,870","2,009","6,600","6,250","6,800","7,361",900,"10,923","10,500","9,000","3,000","8,500","12,000","9,000","9,000","12,000","6,000","6,000","12,000","3,000","6,000"
House Keeping consumables,"1,997","3,335",,,,,985,,"1,110","2,480",967,807,552,727,272,"1,486",,503,"1,440",850,343,257,"1,186","1,600",312,285,236,521,970,"1,014",446,580,"1,000","1,340",500,450,475,840,"1,145",470,527,630,570,817,188,245,"1,068",,,"1,088","3,557",,,575,540,,50,,,,,"1,169",100,440,"3,217",751,,,"1,445",,,400
Pest Control,,"1,550",,"3,000","1,500","3,000","1,500","1,500",,,,217,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generator AMC,,,,,"4,412",,,,,"4,412",,,,,,,,,,,,,,,,,,,,,"10,980",,,,,,,,,,,,,"6,500",,,,,,,,,,,,,"7,000",,,,,,,,,,,,,,,
Generator Repair/Servicing,,,,,"4,021",,,,,"5,075",,,,"1,500",,,,,,,,"5,999",,,,,,,,,,,,,500,,,,,,,,,"7,320",,,,200,,,,,,,,,,"5,800",,,,,,,,,,,,,,
Motor Purchase/Repair,"18,200","14,470",,"1,900","19,000",,"5,220",,,,,,,,,,,,"16,500",,,,,,,,,,,,,,"4,960",,,,,,"13,889",,,,"6,000","14,100",,,,,,,,,,,,,,"6,000",,,,,,,,,,,,,,
Lift AMC,,,"13,750",,,"38,507",,,,,,"38,507",,,,"3,740",,,"42,500",,,,,,,"41,100",,,,"44,547",,,,,,,"44,546",,,,,,"44,546",,,,,,,,,"44,547",,,,,"49,970",,,,,"49,970",,,"50,129",,,,,,,
Lift Repair,,,,,"7,100",,,,,,,,,,,,,,,,540,"1,000",750,,,,,,,,"2,000","2,000",,670,,350,,,,,,"1,734",,,,,,,,,,400,,"1,080",,,,,,,,,,,,,,,,,"1,920",
Plumbing,,,,,,,"1,500",,"2,300",,,,,"11,578",,"3,500",,,,,,,,,,,,100,"3,590",,,,,,,,"2,200",,,,"1,150",,,,,,,100,"1,445",,,,,,550,"2,750",,300,,,,,300,,,,,,"1,000",,750,
Electrical Repair,,,,,,,"7,970",,"8,800","1,800",680,695,,200,,,,,,,270,"2,065",,,,"1,230","4,047","8,700",740,,,"2,000",,950,,"1,500",,,"7,740",200,100,,,,"1,000",,,,"9,000","3,494",,180,,200,"7,000",,,,,,,,,,,,,,"1,140",,,500
Tank Cleaning/Repairing,,,,"1,050",,,,,,"1,130",,"6,600","13,800",,,"8,550",,"1,000","16,000",,,,,,600,"64,250","88,700","7,400",,"3,000",300,"85,600","13,200","3,000",,,700,"6,000",,,,,"4,500",,,,,,,,,,,,"7,700",,,,,,,,,,,"6,500",,,,,,
Lawyer,,,,,,,"5,000",,,"8,000",,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,"7,000",,
Miscellaneous,2137,400,,1200,,270,50,,900,554,2130,1270,2400,232,795,58,250,280,100,,,"5,300",,,685,,,,,,,,,"2,100","12,000","5,580","5,160",,400,"1,900","2,630",,,,,"4,275","2,620","2,615","4,400","15,750","6,100",,400,210,"1,136","5,230",57,"4,715",,,"1,500",,"5,680",94,,,,,10,35,"6,600",
Intercom AMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercom Purchase/Repair,,,,,,,20000,27750,19840,,,,,,,,,,,,,,,,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Extinguisher,,,,,,,,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,840","3,000",,,,,,,,,,,"5,439",,,,,,,,,,,,,,"7,000",,,,,,,,
"Security  Related (Gril,Mat etc.)",,,,,,,,,,,12000,10000,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,"1,500",450,,,,,,,,,,,,,,,,,,,,
Apartment Infra Structure Repair,,,,,,,,,,,,,,,,,,,,,,"3,000",,,,,,,600,,,,,,,,,,,,,,,,,,,"8,000",,,,"4,500",,,,,,,,,,,,,,,,,,,,
Children Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,258","3,000",,,,"6,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Septick Tank n Pipe cleaning maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","45,400","5,000","5,000",,,,"35,000",,,,"25,000",,,"35,000","18,500","-2,800",,"35,000",,,,"15,000",,
Club House ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,233","36,230","96,400",,"20,000","52,445","22,000",,,,,,,,,,,,,,,,,,,,"45,000","14,885",,,,,,,,,,,,,,"9,890",
Alamari purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,900",,,,,,,,,,,,,,,,,
